a,p,r,f1,datasetName,output_columns,numeric_columns,rows,has_ontology,shots
0.5769230769230769,0.5769230769230769,1.0,0.7317073170731707,adelphi_1,26,0,35,False,1
0.75,0.75,1.0,0.8571428571428571,alibaba_1,28,0,26,False,1
0.625,0.625,1.0,0.7692307692307693,ansa_1,8,0,80,False,1
0.8666666666666667,0.8666666666666667,1.0,0.9285714285714286,bestwestern_1,15,1,38,False,1
0.36,0.36,1.0,0.5294117647058824,bundesliga_1,25,9,34,False,1
0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,decathlon_1,19,1,32,False,1
0.6521739130434783,0.6521739130434783,1.0,0.7894736842105263,feltrinelli_1,23,3,29,False,1
0.17647058823529413,0.17647058823529413,1.0,0.3,giunti_1,34,2,33,False,1
0.48148148148148145,0.48148148148148145,1.0,0.65,happycow_1,27,3,30,False,1
0.7,0.7,1.0,0.8235294117647058,hoepli_1,10,1,29,False,1
0.9444444444444444,0.9444444444444444,1.0,0.9714285714285714,hotels_com_1,18,0,34,False,1
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,hotel_de_1,7,0,31,False,1
0.8421052631578947,0.8421052631578947,1.0,0.9142857142857143,immobiliare_it_1,19,0,31,False,1
0.5384615384615384,0.5384615384615384,1.0,0.7000000000000001,laliga_1,13,5,29,False,1
0.6153846153846154,0.6153846153846154,1.0,0.761904761904762,lastminute_1,13,1,38,False,1
0.6666666666666666,0.6666666666666666,1.0,0.8,michelin_1,9,1,49,False,1
0.5806451612903226,0.5806451612903226,1.0,0.7346938775510204,mondadori_1,31,4,39,False,1
0.7916666666666666,0.7916666666666666,1.0,0.8837209302325582,opentable_1,24,7,35,False,1
1.0,1.0,1.0,1.0,premier_1,7,1,31,False,1
0.9,0.9,1.0,0.9473684210526316,priceline_1,20,3,32,False,1
0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,remax_1,15,0,28,False,1
0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,restaurantguru_1,30,4,35,False,1
0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,skyscanner_1,22,2,26,False,1
0.6666666666666666,0.6666666666666666,1.0,0.8,subito_1,21,1,39,False,1
1.0,1.0,1.0,1.0,target_com_1,6,0,32,False,1
0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,tecnocasa_1,22,6,29,False,1
0.6451612903225806,0.6451612903225806,1.0,0.7843137254901961,toscano_1,31,7,34,False,1
1.0,1.0,1.0,1.0,transfermarkt_1,1,0,31,False,1
0.34545454545454546,0.34545454545454546,1.0,0.5135135135135135,tripadvisor_1,55,19,30,False,1
0.9411764705882353,0.9411764705882353,1.0,0.9696969696969697,unicredit_1,17,1,36,False,1
0.5192307692307693,0.5192307692307693,1.0,0.6835443037974684,walmart_1,52,7,39,False,1
1.0,1.0,1.0,1.0,zalando_1,4,0,35,False,1
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444443,adelphi_1,26,0,36,False,5
0.8928571428571429,0.8928571428571429,1.0,0.9433962264150945,alibaba_1,28,0,26,False,5
0.625,0.625,1.0,0.7692307692307693,ansa_1,8,0,81,False,5
1.0,1.0,1.0,1.0,bestwestern_1,15,1,38,False,5
0.56,0.56,1.0,0.717948717948718,bundesliga_1,25,9,35,False,5
0.8421052631578947,0.8421052631578947,1.0,0.9142857142857143,decathlon_1,19,1,32,False,5
0.7391304347826086,0.7391304347826086,1.0,0.85,feltrinelli_1,23,3,29,False,5
0.7647058823529411,0.7647058823529411,1.0,0.8666666666666666,giunti_1,34,2,33,False,5
0.7777777777777778,0.7777777777777778,1.0,0.8750000000000001,happycow_1,27,3,31,False,5
0.9,0.9,1.0,0.9473684210526316,hoepli_1,10,1,29,False,5
0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,hotels_com_1,18,0,34,False,5
0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,hotel_de_1,7,0,31,False,5
0.8947368421052632,0.8947368421052632,1.0,0.9444444444444444,immobiliare_it_1,19,0,31,False,5
0.6153846153846154,0.6153846153846154,1.0,0.761904761904762,laliga_1,13,5,29,False,5
0.8461538461538461,0.8461538461538461,1.0,0.9166666666666666,lastminute_1,13,1,38,False,5
0.6666666666666666,0.6666666666666666,1.0,0.8,michelin_1,9,1,49,False,5
0.7741935483870968,0.7741935483870968,1.0,0.8727272727272727,mondadori_1,31,4,39,False,5
0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,opentable_1,24,7,35,False,5
0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,premier_1,7,1,31,False,5
0.9,0.9,1.0,0.9473684210526316,priceline_1,20,3,31,False,5
0.8,0.8,1.0,0.888888888888889,remax_1,15,0,29,False,5
0.5,0.5,1.0,0.6666666666666666,restaurantguru_1,30,4,35,False,5
0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,skyscanner_1,22,2,26,False,5
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,subito_1,21,1,39,False,5
1.0,1.0,1.0,1.0,target_com_1,6,0,32,False,5
0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,tecnocasa_1,22,6,29,False,5
0.7096774193548387,0.7096774193548387,1.0,0.8301886792452831,toscano_1,31,7,34,False,5
1.0,1.0,1.0,1.0,transfermarkt_1,1,0,31,False,5
0.5454545454545454,0.5454545454545454,1.0,0.7058823529411764,tripadvisor_1,55,19,30,False,5
0.8235294117647058,0.8235294117647058,1.0,0.9032258064516129,unicredit_1,17,1,36,False,5
0.4807692307692308,0.4807692307692308,1.0,0.6493506493506493,walmart_1,52,7,40,False,5
1.0,1.0,1.0,1.0,zalando_1,4,0,35,False,5
0.9615384615384616,0.9615384615384616,1.0,0.9803921568627451,adelphi_1,26,0,36,True,1
0.5,0.5,1.0,0.6666666666666666,alibaba_1,28,0,26,True,1
0.125,0.125,1.0,0.2222222222222222,ansa_1,8,0,81,True,1
0.4,0.4,1.0,0.5714285714285715,bestwestern_1,15,1,38,True,1
0.64,0.64,1.0,0.7804878048780487,bundesliga_1,25,9,35,True,1
0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,decathlon_1,19,1,32,True,1
0.782608695652174,0.782608695652174,1.0,0.878048780487805,feltrinelli_1,23,3,29,True,1
0.8529411764705882,0.8529411764705882,1.0,0.9206349206349206,giunti_1,34,2,33,True,1
0.1111111111111111,0.1111111111111111,1.0,0.19999999999999998,happycow_1,27,3,31,True,1
1.0,1.0,1.0,1.0,hoepli_1,10,1,29,True,1
0.5,0.5,1.0,0.6666666666666666,hotels_com_1,18,0,35,True,1
0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,hotel_de_1,7,0,31,True,1
0.42105263157894735,0.42105263157894735,1.0,0.5925925925925926,immobiliare_it_1,19,0,31,True,1
0.6153846153846154,0.6153846153846154,1.0,0.761904761904762,laliga_1,13,5,29,True,1
0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,lastminute_1,13,1,38,True,1
1.0,1.0,1.0,1.0,michelin_1,9,1,49,True,1
0.41935483870967744,0.41935483870967744,1.0,0.5909090909090909,mondadori_1,31,4,39,True,1
0.7083333333333334,0.7083333333333334,1.0,0.8292682926829268,opentable_1,24,7,36,True,1
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,premier_1,7,1,31,True,1
0.6,0.6,1.0,0.7499999999999999,priceline_1,20,3,32,True,1
0.8,0.8,1.0,0.888888888888889,remax_1,15,0,29,True,1
0.6666666666666666,0.6666666666666666,1.0,0.8,restaurantguru_1,30,4,35,True,1
0.45454545454545453,0.45454545454545453,1.0,0.625,skyscanner_1,22,2,26,True,1
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,subito_1,21,1,39,True,1
0.5,0.5,1.0,0.6666666666666666,target_com_1,6,0,32,True,1
0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,tecnocasa_1,22,6,29,True,1
0.41935483870967744,0.41935483870967744,1.0,0.5909090909090909,toscano_1,31,7,34,True,1
1.0,1.0,1.0,1.0,transfermarkt_1,1,0,31,True,1
0.23636363636363636,0.23636363636363636,1.0,0.3823529411764706,tripadvisor_1,55,19,30,True,1
0.6470588235294118,0.6470588235294118,1.0,0.7857142857142858,unicredit_1,17,1,36,True,1
0.6346153846153846,0.6346153846153846,1.0,0.7764705882352941,walmart_1,52,7,40,True,1
0.25,0.25,1.0,0.4,zalando_1,4,0,36,True,1
0.8461538461538461,0.8461538461538461,1.0,0.9166666666666666,adelphi_1,26,0,36,True,5
0.17857142857142858,0.17857142857142858,1.0,0.30303030303030304,alibaba_1,28,0,26,True,5
0.125,0.125,1.0,0.2222222222222222,ansa_1,8,0,80,True,5
0.13333333333333333,0.13333333333333333,1.0,0.23529411764705882,bestwestern_1,15,1,38,True,5
0.52,0.52,1.0,0.6842105263157895,bundesliga_1,25,9,35,True,5
0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,decathlon_1,19,1,32,True,5
0.5652173913043478,0.5652173913043478,1.0,0.7222222222222222,feltrinelli_1,23,3,29,True,5
0.6764705882352942,0.6764705882352942,1.0,0.8070175438596492,giunti_1,34,2,33,True,5
0.4444444444444444,0.4444444444444444,1.0,0.6153846153846153,happycow_1,27,3,31,True,5
0.5,0.5,1.0,0.6666666666666666,hoepli_1,10,1,29,True,5
0.7222222222222222,0.7222222222222222,1.0,0.8387096774193548,hotels_com_1,18,0,35,True,5
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,hotel_de_1,7,0,31,True,5
0.6842105263157895,0.6842105263157895,1.0,0.8125000000000001,immobiliare_it_1,19,0,31,True,5
0.6153846153846154,0.6153846153846154,1.0,0.761904761904762,laliga_1,13,5,29,True,5
0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,lastminute_1,13,1,38,True,5
0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,michelin_1,9,1,49,True,5
0.6129032258064516,0.6129032258064516,1.0,0.76,mondadori_1,31,4,39,True,5
0.2916666666666667,0.2916666666666667,1.0,0.45161290322580644,opentable_1,24,7,36,True,5
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,premier_1,7,1,31,True,5
0.3,0.3,1.0,0.4615384615384615,priceline_1,20,3,32,True,5
0.7333333333333333,0.7333333333333333,1.0,0.846153846153846,remax_1,15,0,29,True,5
0.6,0.6,1.0,0.7499999999999999,restaurantguru_1,30,4,35,True,5
0.22727272727272727,0.22727272727272727,1.0,0.37037037037037035,skyscanner_1,22,2,26,True,5
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,subito_1,21,1,38,True,5
0.3333333333333333,0.3333333333333333,1.0,0.5,target_com_1,6,0,31,True,5
0.5454545454545454,0.5454545454545454,1.0,0.7058823529411764,tecnocasa_1,22,6,29,True,5
0.3225806451612903,0.3225806451612903,1.0,0.4878048780487805,toscano_1,31,7,34,True,5
1.0,1.0,1.0,1.0,transfermarkt_1,1,0,31,True,5
0.16363636363636364,0.16363636363636364,1.0,0.28125,tripadvisor_1,55,19,30,True,5
0.7058823529411765,0.7058823529411765,1.0,0.8275862068965517,unicredit_1,17,1,36,True,5
0.2692307692307692,0.2692307692307692,1.0,0.42424242424242425,walmart_1,52,7,40,True,5
0.75,0.75,1.0,0.8571428571428571,zalando_1,4,0,36,True,5
